mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__max_iter,param_model__penalty,param_model__solver,param_vec__analyzer,param_vec__max_df,param_vec__min_df,param_vec__ngram_range,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
331.4946192264557,62.77696093131113,0.9122841835021973,0.05227541912168492,1.0,1000,l1,saga,char_wb,1.0,1,"(2, 4)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (2, 4)}",0.709084289095212,0.6990715456034954,0.7079919898052066,0.7022942461762564,0.6971959213401311,0.7031275984040603,0.004721764516383683,3,0.6998126118951057,0.6919872821606926,0.699253771875281,0.6930627726257547,0.6881347964895523,0.6944502470092773,0.004465534785095087,1,0.708459436742265,0.6990129033151605,0.7078934903542994,0.7011239033590829,0.696294362662384,0.7025568192866384,0.004840493825032389,1
328.1131317615509,68.95999051072951,1.2159800052642822,0.285871055993299,1.0,1000,l1,saga,char_wb,0.9,1,"(2, 4)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 1, 'vec__ngram_range': (2, 4)}",0.709084289095212,0.6990715456034954,0.7079919898052066,0.7022942461762564,0.6971959213401311,0.7031275984040603,0.004721764516383683,3,0.6998126118951057,0.6919872821606926,0.699253771875281,0.6930627726257547,0.6881347964895523,0.6944502470092773,0.004465534785095087,1,0.708459436742265,0.6990129033151605,0.7078934903542994,0.7011239033590829,0.696294362662384,0.7025568192866384,0.004840493825032389,1
440.22817673683164,12.431151351065736,1.0209503650665284,0.08895224230909166,1.0,1000,l1,saga,char_wb,0.9,1,"(3, 5)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7041689422901876,0.7027125432368468,0.7070817403968688,0.7055717407137655,0.6975600873998543,0.7034190108075046,0.0032691990226334186,1,0.6940063342836474,0.6945560075617879,0.6973746095188558,0.6959576983998579,0.687758556010484,0.6939306411549266,0.0033003432181756185,3,0.7034186597246664,0.7020926205214769,0.7065762551309146,0.7043860047166898,0.6958497494882026,0.70246465791639,0.0036166932401911667,3
426.4651113033295,16.27110303975461,1.0051468849182128,0.16688513269116068,1.0,1000,l1,saga,char_wb,1.0,1,"(3, 5)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7041689422901876,0.7027125432368468,0.7070817403968688,0.7055717407137655,0.6975600873998543,0.7034190108075046,0.0032691990226334186,1,0.6940063342836474,0.6945560075617879,0.6973746095188558,0.6959576983998579,0.687758556010484,0.6939306411549266,0.0033003432181756185,3,0.7034186597246664,0.7020926205214769,0.7065762551309146,0.7043860047166898,0.6958497494882026,0.70246465791639,0.0036166932401911667,3
302.8636352062225,63.42420762933666,1.1330177783966064,0.46434914025253776,1.0,1000,l1,saga,char_wb,0.9,2,"(2, 4)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 2, 'vec__ngram_range': (2, 4)}",0.7083560895685418,0.6987074458401602,0.7056253413435282,0.702476329206118,0.6979242534595775,0.7026178918835851,0.003982801396787529,7,0.6986949269956532,0.6913187713765748,0.696681163798513,0.6930964455386049,0.6886272226889195,0.6936837060796531,0.0036222342060935222,5,0.7075108334708471,0.6984217066253233,0.7055072362958583,0.7014688313199561,0.6970220352076303,0.7019861285839231,0.00401336484794148,5
296.47498364448546,45.19279757448732,0.9834620475769043,0.15511485813627876,1.0,1000,l1,saga,char_wb,1.0,2,"(2, 4)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 2, 'vec__ngram_range': (2, 4)}",0.7083560895685418,0.6987074458401602,0.7056253413435282,0.702476329206118,0.6979242534595775,0.7026178918835851,0.003982801396787529,7,0.6986949269956532,0.6913187713765748,0.696681163798513,0.6930964455386049,0.6886272226889195,0.6936837060796531,0.0036222342060935222,5,0.7075108334708471,0.6984217066253233,0.7055072362958583,0.7014688313199561,0.6970220352076303,0.7019861285839231,0.00401336484794148,5
300.16368741989135,15.264177726814925,0.7726449966430664,0.04908420295584056,1.0,1000,l1,saga,char_wb,1.0,2,"(3, 5)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.704350992171855,0.7001638448935008,0.706535590751866,0.705753823743627,0.6973780043699928,0.7028364511861684,0.0035050248673432092,5,0.6935549458362776,0.691697647767012,0.6964039401761829,0.6959796998357409,0.6870475595411328,0.6929367586312691,0.0034023831682184554,9,0.7034805269770038,0.6994980125544874,0.7060112927379096,0.7043428598742686,0.6956474016127846,0.7017960187512908,0.003746433708126436,7
368.4602735042572,29.589532149591733,1.2878057956695557,0.3248384914071946,1.0,1000,l1,saga,char_wb,0.9,2,"(3, 5)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.704350992171855,0.7001638448935008,0.706535590751866,0.705753823743627,0.6973780043699928,0.7028364511861684,0.0035050248673432092,5,0.6935549458362776,0.691697647767012,0.6964039401761829,0.6959796998357409,0.6870475595411328,0.6929367586312691,0.0034023831682184554,9,0.7034805269770038,0.6994980125544874,0.7060112927379096,0.7043428598742686,0.6956474016127846,0.7017960187512908,0.003746433708126436,7
12.117273998260497,0.6649737823826506,0.9907131671905518,0.15789752049445158,1.0,1000,l2,saga,char_wb,0.9,1,"(3, 5)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7032586928818496,0.7014381940651738,0.70398689240852,0.696285506190823,0.6988346686088857,0.7007607908310505,0.0028581196829703223,9,0.6952696365117412,0.6958550409417462,0.6966008908957316,0.6883783724400692,0.6911212181135061,0.6934450317805589,0.0031675833112526546,7,0.7036305156185086,0.7025069213766222,0.704469796391861,0.695827389256963,0.6983333563151527,0.7009535957918216,0.0033192178338803057,9
13.214347171783448,0.7325434804095848,1.079108428955078,0.19409001605215756,1.0,1000,l2,saga,char_wb,1.0,1,"(3, 5)","{'model__C': 1, 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__solver': 'saga', 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7032586928818496,0.7014381940651738,0.7038048425268524,0.696285506190823,0.6988346686088857,0.7007243808547169,0.002817663270072991,10,0.6952696365117412,0.6958550409417462,0.6963866663884479,0.6883783724400692,0.6911212181135061,0.6934021868791022,0.0031257801954788535,8,0.7036018459952814,0.7025069213766222,0.7042711564277025,0.695827389256963,0.6983060122737847,0.7009026650660708,0.0032774069113904072,10
