mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__estimator__C,param_vec__analyzer,param_vec__max_df,param_vec__min_df,param_vec__ngram_range,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
40.109156131744385,3.248244896628459,1.363375759124756,0.14788983792169846,0.1,char_wb,0.9,2,"(3, 5)","{'model__estimator__C': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.7072637902785364,0.703076643000182,0.7116329874385582,0.700109249817917,0.7055717407137655,0.7055308822497918,0.0038899284287919004,1,0.7012265870844709,0.7000528925384417,0.7066567907153433,0.6946327860209607,0.6999619543321343,0.7005062021382702,0.0038300758861930136,3,0.7079513724677153,0.7044600618771851,0.7123897189513757,0.7002222995442323,0.7054289428994678,0.7060904791479953,0.004016833792801551,1
36.2248140335083,0.8927589426039013,1.0888916492462157,0.05978938327722058,0.1,char_wb,1.0,2,"(3, 5)","{'model__estimator__C': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.7072637902785364,0.703076643000182,0.7116329874385582,0.700109249817917,0.7055717407137655,0.7055308822497918,0.0038899284287919004,1,0.7012265870844709,0.7000528925384417,0.7066567907153433,0.6946327860209607,0.6999619543321343,0.7005062021382702,0.0038300758861930136,3,0.7079513724677153,0.7044600618771851,0.7123897189513757,0.7002222995442323,0.7054289428994678,0.7060904791479953,0.004016833792801551,1
47.55095109939575,2.8645309423484493,1.2234230995178224,0.27810525691129334,0.1,char_wb,1.0,1,"(3, 5)","{'model__estimator__C': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7083560895685418,0.705261241580193,0.706535590751866,0.7004734158776402,0.7041150764748726,0.7049482828506226,0.002643834467470992,3,0.7033142690521602,0.7029152257475957,0.7028332206363627,0.6958259759030968,0.6996860712799017,0.7009149525238234,0.002858160159348668,1,0.709330849205072,0.7067710576620286,0.7077447577456324,0.7009908759221655,0.7042768476438207,0.7058228776357438,0.0029201706233093682,3
47.75869002342224,0.8079535479694608,0.9677802562713623,0.06972226105763045,0.1,char_wb,0.9,1,"(3, 5)","{'model__estimator__C': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7083560895685418,0.705261241580193,0.706535590751866,0.7004734158776402,0.7041150764748726,0.7049482828506226,0.002643834467470992,3,0.7033142690521602,0.7029152257475957,0.7028332206363627,0.6958259759030968,0.6996860712799017,0.7009149525238234,0.002858160159348668,1,0.709330849205072,0.7067710576620286,0.7077447577456324,0.7009908759221655,0.7042768476438207,0.7058228776357438,0.0029201706233093682,3
43.958836793899536,1.1778779281684872,1.3439167976379394,0.36818842931620815,0.1,char_wb,1.0,1,"(2, 4)","{'model__estimator__C': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (2, 4)}",0.7032586928818496,0.6968869470234844,0.7056253413435282,0.6955571740713765,0.696285506190823,0.6995227323022124,0.00410735651186315,5,0.698714448941309,0.6942246462477676,0.7018902468142114,0.690402234618173,0.6911784526180412,0.6952820058479003,0.00440953149318781,5,0.7044478398515949,0.6979990181822636,0.7066836172356613,0.6956159703254476,0.6962539603515238,0.7002000811892982,0.004505781036777812,5
46.17436013221741,2.153439669357725,1.297769546508789,0.15711213304723448,0.1,char_wb,0.9,1,"(2, 4)","{'model__estimator__C': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 1, 'vec__ngram_range': (2, 4)}",0.7032586928818496,0.6968869470234844,0.7056253413435282,0.6955571740713765,0.696285506190823,0.6995227323022124,0.00410735651186315,5,0.698714448941309,0.6942246462477676,0.7018902468142114,0.690402234618173,0.6911784526180412,0.6952820058479003,0.00440953149318781,5,0.7044478398515949,0.6979990181822636,0.7066836172356613,0.6956159703254476,0.6962539603515238,0.7002000811892982,0.004505781036777812,5
47.39590649604797,2.394920166259944,1.2134080886840821,0.5140526500440032,0.1,char_wb,0.9,2,"(2, 4)","{'model__estimator__C': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 2, 'vec__ngram_range': (2, 4)}",0.7028945931185144,0.6968869470234844,0.7048971418168578,0.6970138383102695,0.6955571740713765,0.6994499388681006,0.0037200751002067563,7,0.69796107109454,0.6935654418313378,0.7007091649818323,0.6914553127920738,0.6897723797466728,0.6946926740892914,0.004070406338292124,7,0.703890985705201,0.697765704823862,0.7058209960873834,0.6967834237647933,0.6953361180999135,0.6999194456962308,0.00414925420327791,7
40.952105617523195,3.561440558122357,1.4506454944610596,0.2743008751934041,0.1,char_wb,1.0,2,"(2, 4)","{'model__estimator__C': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 2, 'vec__ngram_range': (2, 4)}",0.7028945931185144,0.6968869470234844,0.7048971418168578,0.6970138383102695,0.6955571740713765,0.6994499388681006,0.0037200751002067563,7,0.69796107109454,0.6935654418313378,0.7007091649818323,0.6914553127920738,0.6897723797466728,0.6946926740892914,0.004070406338292124,7,0.703890985705201,0.697765704823862,0.7058209960873834,0.6967834237647933,0.6953361180999135,0.6999194456962308,0.00414925420327791,7
92.44690084457397,3.838101671063062,1.280143642425537,0.09547115331870959,1.0,char_wb,0.9,1,"(3, 5)","{'model__estimator__C': 1, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7001638448935008,0.6872383032951028,0.6950664482068086,0.6871813546977422,0.6868171886380189,0.6912934279462346,0.005409433970142319,9,0.6987498192587727,0.6868155596479296,0.6918924269276786,0.6850572380135361,0.6837709138480347,0.6892571915391903,0.00549099017281715,9,0.7026431241904817,0.689574549241834,0.6963560995119914,0.6887062404426437,0.688358863047446,0.6931277752868794,0.005583580423225356,9
94.72166619300842,7.5812873235590175,1.3156631946563722,0.11412108033577988,1.0,char_wb,1.0,1,"(3, 5)","{'model__estimator__C': 1, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7001638448935008,0.6872383032951028,0.6950664482068086,0.6871813546977422,0.6868171886380189,0.6912934279462346,0.005409433970142319,9,0.6987498192587727,0.6868155596479296,0.6918924269276786,0.6850572380135361,0.6837709138480347,0.6892571915391903,0.00549099017281715,9,0.7026431241904817,0.689574549241834,0.6963560995119914,0.6887062404426437,0.688358863047446,0.6931277752868794,0.005583580423225356,9
