mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_vec__analyzer,param_vec__max_df,param_vec__max_features,param_vec__min_df,param_vec__ngram_range,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
4.58832802772522,0.2197550021548955,0.9113001346588134,0.08634169666177137,1.0,char_wb,0.95,20000,5,"(3, 5)","{'model__alpha': 1.0, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (3, 5)}",0.6597487711632988,0.6597487711632988,0.661751319861642,0.6549526584122359,0.659686817188638,0.6591776675578227,0.0022532616565406377,1,0.649814935921266,0.6516325837135085,0.6514056651270629,0.6440644061466684,0.6488095795293739,0.649145434087576,0.00274490194868595,1,0.6597079201398808,0.6605608276241671,0.6612435496866068,0.6536059863069172,0.658427508879922,0.6587091585274988,0.0027192291181945176,1
4.61600170135498,0.346536704409912,0.9649962902069091,0.16500979776389774,1.0,char_wb,0.9,20000,5,"(3, 5)","{'model__alpha': 1.0, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (3, 5)}",0.6597487711632988,0.6597487711632988,0.661751319861642,0.6549526584122359,0.659686817188638,0.6591776675578227,0.0022532616565406377,1,0.649814935921266,0.6516325837135085,0.6514056651270629,0.6440644061466684,0.6488095795293739,0.649145434087576,0.00274490194868595,1,0.6597079201398808,0.6605608276241671,0.6612435496866068,0.6536059863069172,0.658427508879922,0.6587091585274988,0.0027192291181945176,1
4.467371082305908,0.1919763876338449,0.8852872848510742,0.05494441576658055,1.0,char_wb,0.9,20000,2,"(3, 5)","{'model__alpha': 1.0, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.660476970689969,0.6597487711632988,0.661751319861642,0.6538601602330663,0.659686817188638,0.6591048078273227,0.0027256782250332776,3,0.6506318853243339,0.6515642203503474,0.6513855776805442,0.6430112308004339,0.6489618539747074,0.6491109536260733,0.00318542037087874,3,0.6604991026078065,0.6605157898485807,0.66118889699832,0.6525791423285154,0.6584804283135745,0.6586526720193594,0.003169554603005436,3
4.424487733840943,0.19757559318437795,0.8846286773681641,0.0809705371309803,1.0,char_wb,0.95,20000,2,"(3, 5)","{'model__alpha': 1.0, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.660476970689969,0.6597487711632988,0.661751319861642,0.6538601602330663,0.659686817188638,0.6591048078273227,0.0027256782250332776,3,0.6506318853243339,0.6515642203503474,0.6513855776805442,0.6430112308004339,0.6489618539747074,0.6491109536260733,0.00318542037087874,3,0.6604991026078065,0.6605157898485807,0.66118889699832,0.6525791423285154,0.6584804283135745,0.6586526720193594,0.003169554603005436,3
5.2135172367095945,0.6326952825610113,0.9171778678894043,0.07329107332475406,0.1,char_wb,0.95,20000,5,"(3, 5)","{'model__alpha': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (3, 5)}",0.654469324594939,0.6561077735299472,0.651920626251593,0.6493080844865259,0.6502184996358339,0.6524048616997677,0.0025525773335965374,7,0.6489419633366348,0.6528582606617288,0.6461694670372298,0.64369106194299,0.6445300127819408,0.6472381531521048,0.0033330630923238992,5,0.6564886618866893,0.6588613522317046,0.6532155378288883,0.6504345258090017,0.651677199768263,0.6541354555049095,0.0031131280268901747,5
4.722179985046386,0.5941970316603379,0.909408712387085,0.1188957936030652,0.1,char_wb,0.9,20000,5,"(3, 5)","{'model__alpha': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (3, 5)}",0.654469324594939,0.6561077735299472,0.651920626251593,0.6493080844865259,0.6502184996358339,0.6524048616997677,0.0025525773335965374,7,0.6489419633366348,0.6528582606617288,0.6461694670372298,0.64369106194299,0.6445300127819408,0.6472381531521048,0.0033330630923238992,5,0.6564886618866893,0.6588613522317046,0.6532155378288883,0.6504345258090017,0.651677199768263,0.6541354555049095,0.0031131280268901747,5
4.294325637817383,0.1334529898307722,0.9551658153533935,0.1401081572943934,0.1,char_wb,0.9,20000,2,"(3, 5)","{'model__alpha': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.654469324594939,0.6548334243582742,0.6528308756599308,0.6493080844865259,0.6494901675163874,0.6521863753232114,0.0023743715519465836,9,0.6488736023519679,0.6514632624459215,0.6470722659663436,0.6436669362119233,0.6438853121372402,0.6469922758226793,0.0029747812083445414,7,0.6564704325392268,0.6575315569906439,0.6540579751137746,0.650385174391572,0.6509497238771701,0.6538789725824774,0.00285923777425894,7
4.749266004562378,0.35184982251412433,0.8529088973999024,0.03973576420021738,0.1,char_wb,0.95,20000,2,"(3, 5)","{'model__alpha': 0.1, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.654469324594939,0.6548334243582742,0.6528308756599308,0.6493080844865259,0.6494901675163874,0.6521863753232114,0.0023743715519465836,9,0.6488736023519679,0.6514632624459215,0.6470722659663436,0.6436669362119233,0.6438853121372402,0.6469922758226793,0.0029747812083445414,7,0.6564704325392268,0.6575315569906439,0.6540579751137746,0.650385174391572,0.6509497238771701,0.6538789725824774,0.00285923777425894,7
4.2813764095306395,0.18439014815280907,1.0476609706878661,0.25178873200933766,0.01,char_wb,0.9,20000,5,"(3, 5)","{'model__alpha': 0.01, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (3, 5)}",0.6506462770799198,0.6539231749499362,0.6480975787365738,0.6483976693372178,0.6485797523670794,0.6499288904941454,0.002190318081830456,11,0.6446187984781961,0.6502274112100702,0.642235985545743,0.6426399137196052,0.642693560945489,0.6444831339798208,0.00298880693293282,9,0.6526046765718563,0.6565697845023787,0.6492303317285603,0.6496269119687725,0.6499645612994537,0.6515992532142043,0.002752860115028041,9
4.581323480606079,0.445270519470106,0.960896110534668,0.12098785992631982,0.01,char_wb,0.95,20000,5,"(3, 5)","{'model__alpha': 0.01, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (3, 5)}",0.6506462770799198,0.6539231749499362,0.6480975787365738,0.6483976693372178,0.6485797523670794,0.6499288904941454,0.002190318081830456,11,0.6446187984781961,0.6502274112100702,0.642235985545743,0.6426399137196052,0.642693560945489,0.6444831339798208,0.00298880693293282,9,0.6526046765718563,0.6565697845023787,0.6492303317285603,0.6496269119687725,0.6499645612994537,0.6515992532142043,0.002752860115028041,9
